rank,Country,score,Total,Rank,Total,Rank,Total,Rank,Total,Rank
85,Albania,69.83,4,77,0.139,33,3.438,102,0.0101,87
118,Algeria,103.5,3,80,0.007,97,0.23,113,0,117
36,Angola,46,63,22,0.23,21,51.536,66,0.0277,73
120,Antigua and Barbuda,109.5,0,99,0,99,0,120,0,120
33,Argentina,44.67,14,53,0.032,69,1 637.931,13,0.1873,32
120,Armenia,109.5,0,99,0,99,0,120,0,120
31,Australia,42.17,18,46,0.074,51,1226.12,19,0.1032,43
56,Austria,59.17,3,80,0.034,68,323.149,35,0.0775,52
102,Azerbaijan,87.5,1,92,0.011,92,22.056,83,0.0133,83
120,Bahrain,109.5,0,99,0,99,0,120,0,120
13,Bangladesh,27,222,7,0.137,34,1 104.645,21,0.1754,33
120,Barbados,109.5,0,99,0,99,0,120,0,120
120,Belarus,109.5,0,99,0,99,0,120,0,120
77,Belgium,68,2,86,0.018,83,250.938,38,0.0493,59
55,Belize,58,0,99,0,99,177.989,43,5.7471,4
120,Benin,109.5,0,99,0,99,0,120,0,120
75,Bhutan,67.17,4,77,0.506,8,0.307,110,0.0047,100
9,Bolivia,19.33,26,43,0.239,19,1051.218,23,1.3346,6
120,Bosnia and Herzegovina,109.5,0,99,0,99,0,120,0,120
120,Botswana,109.5,0,99,0,99,0,120,0,120
48,Brazil,54.5,49,28,0.024,77,1316.446,17,0.0419,64
120,Brunei Darussalam,109.5,0,99,0,99,0,120,0,120
120,Bulgaria,109.5,0,99,0,99,0,120,0,120
79,Burkina Faso,68.17,15,49,0.081,46,4.079,100,0.0124,84
19,Burundi,34.5,33,38,0.342,14,16.308,87,0.2078,27
111,Cambodia,95.17,0,99,0,99,5.856,98,0.0099,88
114,Cameroon,97.83,4,77,0.017,85,0.131,116,0.0002,112
43,Canada,51.67,3,80,0.008,95,5 983.721,4,0.3556,18
120,Cape Verde,109.5,0,99,0,99,0,120,0,120
120,Central African Republic,109.5,0,99,0,99,0,120,0,120
120,Chad,109.5,0,99,0,99,0,120,0,120
62,Chile,62,3,80,0.016,86,443.602,32,0.1012,44
12,China,23.83,989,2,0.072,53,82 008.147,1,0.3853,17
7,Chinese Taipei,18.5,103,13,0.438,10,1 978.552,10,0.1747,34
83,Colombia,69.33,61,23,0.125,37,3.634,101,0.0005,109
120,Comoros,109.5,0,99,0,99,0,120,0,120
25,Costa Rica,40.17,10,64,0.204,23,98.576,53,0.1222,39
119,Cote d'Ivoire,105.17,1,92,0.004,98,0.123,117,0.0001,113
120,Croatia,109.5,0,99,0,99,0,120,0,120
22,Cyprus,38.17,2,86,0.236,20,74.931,59,0.2527,22
97,Czech Republic,78.83,0,99,0,99,144.93,46,0.041,65
68,Democratic Republic of Congo,64.33,78,17,0.093,42,4.993,99,0.0077,93
120,Democratic Republic of Timor-Leste,109.5,0,99,0,99,0,120,0,120
104,Denmark,90.33,0,99,0,99,31.409,75,0.0114,85
120,Djibouti,109.5,0,99,0,99,0,120,0,120
120,Dominica,109.5,0,99,0,99,0,120,0,120
11,Dominican Republic,23.33,32,39,0.318,16,463.334,31,0.2862,19
34,Ecuador,45.83,32,39,0.194,26,78.542,58,0.0425,63
88,Egypt,73.33,28,41,0.031,72,68.125,61,0.006,97
110,El Salvador,93.67,2,86,0.032,71,0.204,114,0.0004,110
120,Eritrea,109.5,0,99,0,99,0,120,0,120
120,Estonia,109.5,0,99,0,99,0,120,0,120
29,Ethiopia,41.67,100,14,0.11,40,134.546,50,0.0758,53
3,Fiji,10.17,47,29,5.384,2,1 076.305,22,13.1449,3
120,Finland,109.5,0,99,0,99,0,120,0,120
8,FormerYugoslav Republic of Macedonia,19,22,44,1.061,5,207.93,42,0.6872,9
52,France,56.33,7,68,0.011,91,3 160.550,8,0.1156,40
120,Gabon,109.5,0,99,0,99,0,120,0,120
120,Georgia,109.5,0,99,0,99,0,120,0,120
42,Germany,51.5,15,49,0.018,82,3 910.524,6,0.0978,45
101,Ghana,86,12,60,0.044,63,0.424,108,0.0004,111
65,Greece,63.17,7,68,0.065,58,90.971,55,0.0314,70
120,Grenada,109.5,0,99,0,99,0,120,0,120
81,Guatemala,68.83,18,46,0.109,41,8.12,93,0.0062,96
113,Guinea,97,3,80,0.024,78,0.029,118,0.0001,114
120,Guinea-Bissau,109.5,0,99,0,99,0,120,0,120
120,Guyana,109.5,0,99,0,99,0,120,0,120
1,Haiti,2.33,613,3,5.651,1,3 332.720,7,17.2242,1
29,Honduras,41.67,16,48,0.195,25,46.869,70,0.1086,41
120,Hungary,109.5,0,99,0,99,0,120,0,120
120,Iceland,109.5,0,99,0,99,0,120,0,120
6,India,18.33,2 119,1,0.163,30,21482.785,3,0.2469,23
37,Indonesia,46.17,196,8,0.076,50,871.209,25,0.0287,72
120,Iraq,109.5,0,99,0,99,0,120,0,120
117,Ireland,101.5,1,92,0.021,80,0.011,119,0,119
24,Islamic Republic of Afghanistan,39.33,135,12,0.404,12,31.213,76,0.0468,62
93,Islamic Republic of Iran,76.83,14,53,0.017,84,115.958,52,0.0075,94
63,Israel,62.17,2,86,0.023,79,274.764,37,0.0913,46
92,Italy,76.5,10,64,0.016,87,211.232,41,0.0095,90
100,Jamaica,82.83,0,99,0,99,14.518,88,0.0573,56
54,Japan,57.5,39,35,0.031,73,1442.985,16,0.0276,74
120,Jordan,109.5,0,99,0,99,0,120,0,120
114,Kazakhstan,97.83,0,99,0,99,16.876,86,0.0037,102
45,Kenya,52.33,72,19,0.158,31,32.867,73,0.0215,80
120,Kiribati,109.5,0,99,0,99,0,120,0,120
60,Korea. Republic of,60.83,15,49,0.029,75,616.641,30,0.0319,68
80,Kosovo,68.67,1,92,0.055,61,13.747,90,0.0752,54
120,Kuwait,109.5,0,99,0,99,0,120,0,120
120,Kyrgyz Republic,109.5,0,99,0,99,0,120,0,120
120,Lao People's Democratic Republic,109.5,0,99,0,99,0,120,0,120
120,Latvia,109.5,0,99,0,99,0,120,0,120
120,Lebanon,109.5,0,99,0,99,0,120,0,120
76,Lesotho,67.67,0,99,0,99,30.901,77,0.4417,16
120,Liberia,109.5,0,99,0,99,0,120,0,120
120,Libya,109.5,0,99,0,99,0,120,0,120
120,Lithuania,109.5,0,99,0,99,0,120,0,120
94,Luxembourg,77,0,99,0,99,50.791,67,0.0834,49
58,Madagascar,60.17,0,99,0,99,224.96,40,0.5999,12
69,Malawi,64.5,11,62,0.059,60,11.743,91,0.0556,57
72,Malaysia,65.5,13,56,0.041,65,154.597,45,0.0179,81
120,Maldives,109.5,0,99,0,99,0,120,0,120
99,Mali,79.5,14,53,0.077,48,0.272,112,0.0007,108
120,Malta,109.5,0,99,0,99,0,120,0,120
120,Marshall Islands,109.5,0,99,0,99,0,120,0,120
120,Mauritania,109.5,0,99,0,99,0,120,0,120
120,Mauritius,109.5,0,99,0,99,0,120,0,120
38,Mexico,46.67,93,16,0.076,49,728.678,28,0.0315,69
120,Micronesia,109.5,0,99,0,99,0,120,0,120
120,Moldova,109.5,0,99,0,99,0,120,0,120
120,Mongolia,109.5,0,99,0,99,0,120,0,120
120,Montenegro,109.5,0,99,0,99,0,120,0,120
108,Morocco,93.17,10,64,0.029,76,0.299,111,0.0001,116
21,Mozambique,38,44,31,0.153,32,59.131,63,0.1686,35
53,Myanmar,57.17,40,33,0.077,47,70.677,60,0.0233,78
27,Namibia,40.83,2,86,0.086,43,144.915,47,0.55,13
14,Nepal,29.5,179,9,0.62,6,61.144,62,0.0851,47
60,Netherlands,60.83,0,99,0,99,1 795.927,12,0.2058,28
96,New Zealand,78.17,0,99,0,99,87.382,56,0.0495,58
49,Nicaragua,54.67,7,68,0.114,39,26.782,80,0.0786,51
17,Niger,32,50,27,0.275,18,40.832,71,0.2002,29
66,Nigeria,64,77,18,0.042,64,94.104,54,0.0086,92
95,Norway,77.17,0,99,0,99,172.157,44,0.0472,61
15,Oman,29.83,13,56,0.324,15,362.325,33,0.1962,30
40,Pakistan,50.83,566,4,0.292,17,47.313,69,0.0048,99
120,Palau,109.5,0,99,0,99,0,120,0,120
70,Panama,64.83,8,67,0.198,24,8.408,92,0.0091,91
82,Papua New Guinea,69.17,13,56,0.164,29,1.723,105,0.0059,98
103,Paraguay,89.17,1,92,0.015,88,7.039,95,0.0109,86
39,Peru,47.67,40,33,0.127,36,143.044,49,0.0352,66
16,Philippines,31.33,65,21,0.062,59,2 251.251,9,0.2792,20
67,Poland,64.17,52,26,0.137,35,23.566,81,0.0022,104
51,Portugal,55.5,5,74,0.048,62,249.497,39,0.0836,48
105,Puerto Rico,91,0,99,0,99,18.386,85,0.0143,82
120,Qatar,109.5,0,99,0,99,0,120,0,120
120,Republic of Congo,109.5,0,99,0,99,0,120,0,120
63,Republic of Yemen,62.17,60,24,0.206,22,2.962,103,0.0043,101
106,Romania,92.17,7,68,0.035,67,0.141,115,0,118
59,Russia,60.67,44,32,0.031,74,833.032,26,0.0216,79
